Prov,mun,stlmtsz8,stlmtsz5,H_SETTLEMENT,H_URBRURAL,E_RESPINT,F_INTPRIVACY,E1_LITERACY,gov_trst,dem_equ,dem_imp,dem_mil_reg,eth_death,eth_poldeath_sex,eth_sex_rel,Q106,Q107,Q108,Q109,Q110,Q112,Q120,Q143,Q158,Q159,Q160,Q161,Q162,Q177,Q178,Q179,Q180,Q181,Q182,Q183
608162,608047,4,2,1,1,1,2,1,-0.277440953,0.681930224,-0.064329839,0.567409244,-0.011223202,0.699192732,0.585424006,8,8,9,6,5,6,8,2,8,8,6,5,1,8,5,4,5,4,9,5
608162,608047,4,2,1,1,1,1,1,0.625670282,-0.442763249,-0.551764937,0.546631888,-1.046392996,-1.118469691,-1.274923221,1,2,3,5,7,7,5,1,10,9,2,10,5,9,1,1,1,1,1,1
608162,608047,2,1,1,1,1,2,1,1.156368802,-0.639495762,-1.491618428,-0.604924318,1.028379491,-0.518705264,0.85609686,8,7,8,8,7,9,4,2,7,8,7,7,8,3,4,5,7,4,4,8
608162,608047,2,1,1,1,1,1,1,-0.191772406,-0.215019882,-1.351534693,0.036017143,0.120342121,0.235142284,0.636186867,4,8,8,9,8,8,7,1,7,7,4,7,7,3,3,4,4,7,7,7
608162,608047,2,1,1,1,1,2,1,0.176128489,-0.57597857,-0.32787383,0.067724075,0.655308282,-0.212165744,0.597821766,2,3,7,9,8,9,5,1,8,8,8,8,8,3,4,4,7,7,4,6
608162,608047,2,1,1,1,2,1,1,0.852455003,1.86269602,1.615702932,2.127294118,-1.071286583,-1.343605327,-1.098764518,1,1,10,1,1,10,6,1,10,10,10,10,10,1,4,4,4,4,4,1
608162,608047,2,1,1,1,1,2,1,-1.769390969,-1.159478281,0.776731522,-1.971471346,-1.104675829,0.121691674,-1.165564538,9,9,2,2,9,10,10,2,1,2,2,10,2,10,1,1,1,1,1,1
608162,608047,2,1,1,1,1,2,1,0.482734922,1.86269602,1.615702932,2.127294118,-1.003028454,-0.78322235,-1.336408561,10,1,10,5,10,5,6,1,10,10,1,1,1,1,1,1,1,1,1,1
608162,608047,2,1,1,1,1,2,1,-0.050656232,-0.660097678,-0.324945582,0.318329793,1.584392232,1.359163831,1.589114277,8,8,7,8,8,4,4,1,8,7,7,8,8,3,3,4,4,3,8,8
608162,608047,2,1,1,1,1,2,1,1.669897691,-1.210352832,-0.952104928,-1.268811236,-1.033430538,-1.384140792,-1.393908581,10,4,3,5,4,5,10,1,5,5,5,10,5,5,4,5,5,5,1,1
608162,608047,2,1,1,1,1,2,1,0.035012315,-0.318703208,-0.004850148,-1.426266541,-0.553149567,0.117854703,0.061051413,4,8,7,9,2,9,7,2,8,7,7,8,8,3,4,2,7,3,8,2
608162,608047,2,1,1,1,1,2,1,-0.866279733,1.285854828,1.558910493,1.525348752,2.366349743,2.301834135,1.96487409,10,10,1,-2,10,1,8,1,10,10,5,8,1,9,1,1,8,8,8,6
608162,608047,1,1,1,1,1,1,1,1.03435548,-1.023799432,0.181643851,-0.21912375,-0.798894173,-0.439460246,-0.345534911,9,8,7,5,3,7,5,1,9,7,8,5,8,9,1,1,1,1,1,1
608162,608047,1,1,1,1,1,1,1,0.215165898,0.778637916,0.636607565,1.50301151,-0.643431331,1.437033072,0.644929007,10,8,10,5,10,10,10,1,10,10,10,10,7,7,1,1,1,1,7,5
608162,608047,1,1,1,1,1,1,1,0.852455003,-0.762213634,-0.654073281,-0.577303397,-0.096809252,-0.055434997,-0.250572812,8,7,7,8,7,9,8,2,8,8,8,5,7,9,1,1,1,1,5,1
608162,608047,1,1,1,1,1,1,1,0.625670282,-0.391672175,0.877469818,1.065483791,0.692456383,1.114428959,1.028355386,10,8,8,7,5,9,10,1,10,7,4,4,3,4,9,10,10,5,10,5
608162,608047,1,1,1,1,1,1,1,-0.047963598,-0.388707622,-0.447777304,-0.123080831,0.723759799,0.071991704,0.129584033,7,7,7,7,7,7,4,3,5,6,6,6,6,2,1,1,1,1,1,5
608162,608047,1,1,1,1,-5,1,-5,-0.191772406,1.103442685,0.44520701,1.446431477,-0.963644279,0.120474234,0.162792092,4,10,3,1,2,7,8,3,5,4,10,10,5,7,1,1,1,1,5,5
608162,608047,1,1,1,1,1,1,1,1.44311297,-0.928233944,-0.96450874,-0.585575777,-0.84353948,0.430809463,0.534336152,8,9,9,9,10,10,8,3,7,7,8,7,8,1,1,1,1,1,5,4
608162,608047,1,1,1,1,1,2,1,0.567530022,-1.741763839,-0.791057772,-1.278479572,1.490838491,0.576108616,-0.138038301,1,3,3,8,8,8,3,1,10,7,1,5,7,3,4,3,4,5,4,4
608162,608047,1,1,1,1,1,2,1,0.625670282,0.741264315,-1.825385605,0.532706239,-0.349439809,-0.575996139,-0.2381703,5,10,10,5,5,7,5,2,8,7,7,10,7,8,1,1,1,1,8,1
608162,608047,1,1,1,1,1,1,1,0.935430917,-0.774431574,0.410726297,-0.077371586,0.471903712,0.568653572,1.249872664,1,1,1,5,4,8,9,1,3,2,7,6,7,4,5,4,5,5,8,8
608162,608049,5,3,1,1,2,2,1,-0.724290113,1.337714089,1.16174769,1.586374615,-0.913452805,-1.265739981,-0.23623701,6,5,5,5,2,8,8,3,10,8,8,8,8,8,8,1,1,1,6,1
608162,608049,5,3,1,1,1,1,1,0.729568234,1.251111321,1.132462436,1.285267631,1.581017411,1.099970569,1.349235377,4,8,8,1,4,10,8,3,5,8,6,6,8,5,7,7,5,5,5,8
608162,608049,5,3,1,1,1,2,1,0.767659903,1.519292496,0.804131117,0.159697534,-1.046392996,-1.118469691,-1.274923221,10,10,1,1,5,4,5,2,5,10,5,5,1,1,1,1,1,1,1,1
608162,608049,5,3,1,1,1,1,1,-0.458467983,0.368723764,0.482510643,0.508966427,-0.734906657,-0.888670759,-0.995077916,7,7,8,9,2,8,8,3,9,9,9,5,7,8,2,2,8,2,2,2
608162,608049,5,3,1,1,1,1,1,-1.625582161,0.191315032,0.83072066,0.265414289,1.159965474,0.62504145,0.894508484,10,9,10,10,10,6,10,4,8,10,1,7,5,4,5,5,5,6,6,6
608162,608049,5,3,1,1,1,1,1,-0.050656232,-0.012533855,-0.388316965,0.752812654,2.526821859,2.214251775,2.084910921,7,3,8,2,4,7,7,3,5,3,3,8,9,4,9,9,9,8,9,9
608162,608049,5,3,1,1,1,2,1,-0.458467983,-0.039715029,0.400945113,-0.839237974,-0.974198246,-1.36947671,-1.173024922,8,8,5,7,5,10,6,1,8,5,1,1,1,2,8,2,2,1,3,1
608162,608049,5,3,1,1,1,1,1,1.526962331,1.560088618,-0.145851836,0.090136687,-1.015559018,-0.861271182,-0.623730945,10,8,10,10,1,5,5,1,10,10,5,9,5,7,8,1,1,3,5,1
608162,608049,5,3,1,1,1,2,1,1.709808547,-0.076264909,-0.170719293,-0.58872663,-0.813708977,-0.941720995,-1.477942341,7,8,9,6,5,9,5,2,7,7,6,8,3,3,2,1,1,1,1,1
608162,608049,5,3,1,1,1,1,1,0.586632873,0.514380253,0.489775274,0.015071311,-0.77114529,-0.877583002,0.133364824,8,5,6,7,7,6,1,1,6,7,6,6,5,4,4,3,4,4,3,6
